id,name,platform,genre,developer,original_release_date
26379,Witches,PlayStation 3,Action,Revistronic,12/15/2011
26379,Witches,PC,Action,Revistronic,12/15/2011
26379,Witches,Xbox 360,Action,Revistronic,12/15/2011
31865,Puss in Boots,Mac,Card Game,Magnussoft Deutschland GmbH,11/15/2011
30330,Kingdoms of Amalur: Reckoning,PC,Role-Playing,38 Studios,9/15/2011
30330,Kingdoms of Amalur: Reckoning,PlayStation 3,Role-Playing,38 Studios,9/15/2011
30330,Kingdoms of Amalur: Reckoning,Xbox 360,Role-Playing,38 Studios,9/15/2011
20672,Rage,iPad,Action,id Software,9/13/2011
20672,Rage,iPhone,Action,id Software,9/13/2011
20672,Rage,Xbox 360,Action,id Software,9/13/2011
20672,Rage,PlayStation 3,Action,id Software,9/13/2011
20672,Rage,PC,Action,id Software,9/13/2011
20672,Rage,Mac,Action,id Software,9/13/2011
24205,Star Wars: The Old Republic,PC,MMORPG,BioWare Austin,6/16/2011
31866,Kung Fu Panda: Kaboom of Doom,DSiWare,Real-Time Strategy,Interplay Entertainment Corp.,6/15/2011
25726,Red Faction: Armageddon,Xbox 360,Shooter,Volition Incorporated,5/15/2011
25726,Red Faction: Armageddon,PlayStation 3,Shooter,Volition Incorporated,5/15/2011
25726,Red Faction: Armageddon,PC,Shooter,Volition Incorporated,5/15/2011
25042,Mortal Kombat,PlayStation 3,Fighting,NetherRealm Studios,4/15/2011
25042,Mortal Kombat,Xbox 360,Fighting,NetherRealm Studios,4/15/2011
20525,Highlander: The Game,PC,Action,Widescreen Games SARL,3/30/2011
20525,Highlander: The Game,Xbox 360,Action,Widescreen Games SARL,3/30/2011
20525,Highlander: The Game,PlayStation 3,Action,Widescreen Games SARL,3/30/2011
26754,Crysis 2,PlayStation 3,First-Person Shooter,Crytek UK,3/22/2011
26754,Crysis 2,Xbox 360,First-Person Shooter,Crytek UK,3/22/2011
26754,Crysis 2,PC,First-Person Shooter,Crytek UK,3/22/2011
30484,F.E.A.R. 3,PC,First-Person Shooter,Day 1 Studios. LLC,3/22/2011
30484,F.E.A.R. 3,Xbox 360,First-Person Shooter,Day 1 Studios. LLC,3/22/2011
30484,F.E.A.R. 3,PlayStation 3,First-Person Shooter,Day 1 Studios. LLC,3/22/2011
21358,Deus Ex: Human Revolution,PlayStation 3,Action,Eidos Studios Montreal,3/15/2011
21358,Deus Ex: Human Revolution,Xbox 360,Action,Eidos Studios Montreal,3/15/2011
21358,Deus Ex: Human Revolution,PC,Action,Eidos Studios Montreal,3/15/2011
26095,Tom Clancy's Ghost Recon: Future Soldier,Wii,First-Person Shooter,Ubisoft Paris Studios,3/15/2011
26095,Tom Clancy's Ghost Recon: Future Soldier,Nintendo DS,First-Person Shooter,Ubisoft Paris Studios,3/15/2011
26095,Tom Clancy's Ghost Recon: Future Soldier,PlayStation Network (PS3),First-Person Shooter,Ubisoft Paris Studios,3/15/2011
26095,Tom Clancy's Ghost Recon: Future Soldier,PlayStation 3,First-Person Shooter,Ubisoft Paris Studios,3/15/2011
26095,Tom Clancy's Ghost Recon: Future Soldier,PC,First-Person Shooter,Ubisoft Paris Studios,3/15/2011
26095,Tom Clancy's Ghost Recon: Future Soldier,Xbox 360,First-Person Shooter,Ubisoft Paris Studios,3/15/2011
