"id","name","name","name","original_release_date","image"
25639,"Baffle Ball","Gottlieb","Pinball","1931-01-18","http://media.giantbomb.com/uploads/0/431/938376-baffleba_thumb.jpg"
29642,"Blackstone","Chicago Coin","Pinball","1933-07-01","/images/unknown.jpg"
29815,"Leland","Chicago Coin","Pinball","1933-09-01","/images/unknown.jpg"
29616,"Baby Leland","Chicago Coin","Pinball","1933-12-01","http://media.giantbomb.com/uploads/0/4527/1231716-image_8_thumb.jpg"
29812,"Knickerbocker","Chicago Coin","Pinball","1934-04-13","http://media.giantbomb.com/uploads/0/4527/1251668-1_thumb.jpg"
29623,"Beam-Lite","Chicago Coin","Pinball","1935-03-28","http://media.giantbomb.com/uploads/0/4527/1231809-1_thumb.jpg"
29618,"Base Hit","Chicago Coin","Pinball","1935-05-29","/images/unknown.jpg"
29742,"High-Low","Chicago Coin","Pinball","1935-12-20","http://media.giantbomb.com/uploads/0/1348/1483249-images_thumb.jpeg"
29678,"Cue Senior De Luxe","Chicago Coin","Pinball","1936-01-27","/images/unknown.jpg"
29679,"Cue Standard","Chicago Coin","Pinball","1936-01-27","http://media.giantbomb.com/uploads/0/4527/1239311-1_thumb.jpg"
29680,"Cue Junior","Chicago Coin","Pinball","1936-01-27","/images/unknown.jpg"
29729,"Ginger ","Chicago Coin","Pinball","1936-02-04","http://media.giantbomb.com/uploads/0/4527/1242812-1_thumb.jpg"
28541,"Big Casino","Chicago Coin","Pinball","1936-02-14","http://media.giantbomb.com/uploads/0/4527/1232174-1_thumb.jpg"
29652,"Budget","Chicago Coin","Pinball","1936-03-16","/images/unknown.jpg"
29921,"Monopolee","Chicago Coin","Pinball","1936-04-07","/images/unknown.jpg"
29713,"Finance ","Chicago Coin","Pinball","1936-04-30","/images/unknown.jpg"
29926,"Multiplay","Chicago Coin","Pinball","1936-07-10","/images/unknown.jpg"
29676,"Cracker Jack","Chicago Coin","Pinball","1936-11-20","/images/unknown.jpg"
29840,"Live Wire","Chicago Coin","Pinball","1937-01-13","http://media.giantbomb.com/uploads/0/4527/1252972-1_thumb.jpg"
29785,"Home Run","Chicago Coin","Pinball","1937-02-05","http://media.giantbomb.com/uploads/0/4527/1248384-1_thumb.jpg"
29654,"Bump-A-Lite","Chicago Coin","Pinball","1937-02-16","/images/unknown.jpg"
29617,"Ball Park","Chicago Coin","Baseball","1937-06-15","http://media.giantbomb.com/uploads/0/4527/1231718-1_thumb.jpg"
29670,"Chico Derby","Chicago Coin","Pinball","1937-09-11","http://media.giantbomb.com/uploads/0/4527/1238791-1_thumb.jpg"
29624,"Beam-Lite of '37","Chicago Coin","Pinball","1937-10-01","http://media.giantbomb.com/uploads/0/4527/1231812-1_thumb.jpg"
29703,"Dux","Chicago Coin","Pinball","1937-12-03","http://media.giantbomb.com/uploads/0/4527/1240835-1_thumb.jpg"
